Element,Temperature,Ratio,Size,7,14,21,28,42
La,35,baga,tom,0.64,0.79,0,0,0
La,35,baga,dund,0,0,0,0,0
La,35,baga,jijig,0,0,0,0,0
La,35,dund,tom,4.63,4.68,4.74,4.96,5.46
La,35,dund,dund,0,0.01,0,0.02,0
La,35,dund,jijig,0,0,0.07,0,0
La,35,ih,tom,9.78,9.94,10.82,12.2,15.1
La,35,ih,dund,0.99,0.33,0.34,0.01,0
La,35,ih,jijig,0,0.04,0.04,0,0
La,25,baga,tom,0.66,0.7,0,0.02,0
La,25,baga,dund,0,0.01,0,0,0
La,25,baga,jijig,0,0,0,0,0
La,25,dund,tom,3.45,3.51,3.51,3.07,3.19
La,25,dund,dund,0.01,0.01,0.01,0,0
La,25,dund,jijig,0,0.02,0.02,0,0
La,25,ih,tom,6.97,7.25,7.33,7.73,8.96
La,25,ih,dund,0.79,0.22,0.23,0,0
La,25,ih,jijig,0,0.01,0.01,0,0
La,10,baga,tom,0.64,0.66,0.65,0.49,0.42
La,10,baga,dund,0,0,0,0.01,0
La,10,baga,jijig,0,0.01,0.01,0,0
La,10,dund,tom,3.82,4,4.05,3.76,3.77
La,10,dund,dund,0.16,0.16,0.16,0.01,0.02
La,10,dund,jijig,0,0,0.01,0,0.01
La,10,ih,tom,4.34,4.86,5.57,5.84,6.17
La,10,ih,dund,2.12,1.96,2.06,2.13,2.1
La,10,ih,jijig,0,0.01,0.02,0,0.01
Ce,35,baga,tom,0.58,0.59,0,0,0
Ce,35,baga,dund,0,0,0,0,0
Ce,35,baga,jijig,0,0,0,0,0
Ce,35,dund,tom,4.58,4.74,4.81,5.13,5.03
Ce,35,dund,dund,0,0.01,0,0.02,0
Ce,35,dund,jijig,0,0,0.07,0,0
Ce,35,ih,tom,10.33,10.52,12.08,13.53,15.58
Ce,35,ih,dund,0.92,0.29,0.3,0,0
Ce,35,ih,jijig,0,0.03,0.03,0,0
Ce,25,baga,tom,0.57,0.6,0,0,0
Ce,25,baga,dund,0,0,0,0,0
Ce,25,baga,jijig,0,0,0,0,0
Ce,25,dund,tom,3.35,3.4,3.44,3.11,3.17
Ce,25,dund,dund,0,0,0,0,0
Ce,25,dund,jijig,0,0.01,0,0,0
Ce,25,ih,tom,6.99,7.06,7.77,8.35,8.78
Ce,25,ih,dund,0.66,0.18,0.18,0,0
Ce,25,ih,jijig,0,0,0,0,0
Ce,10,baga,tom,0.55,0.56,0.56,0.41,0.3
Ce,10,baga,dund,0,0,0,0.01,0
Ce,10,baga,jijig,0,0,0,0,0
Ce,10,dund,tom,3.55,3.84,4.17,3.83,3.35
Ce,10,dund,dund,0.11,0.11,0.11,0,0.01
Ce,10,dund,jijig,0,0,0,0,0
Ce,10,ih,tom,4.2,4.87,5.97,6.28,5.93
Ce,10,ih,dund,1.8,1.61,1.82,1.88,1.62
Ce,10,ih,jijig,0,0,0,0,0
Pr,35,baga,tom,0.52,0.53,0,0,0
Pr,35,baga,dund,0,0,0,0,0
Pr,35,baga,jijig,0,0,0,0,0
Pr,35,dund,tom,4.33,4.59,4.69,4.95,4.94
Pr,35,dund,dund,0,0,0,0,0
Pr,35,dund,jijig,0,0,0.05,0,0
Pr,35,ih,tom,9.79,9.94,12.22,13.16,15.31
Pr,35,ih,dund,0.8,0.25,0.04,0,0
Pr,35,ih,jijig,0,0,0,0,0
Pr,25,baga,tom,0.51,0.52,0,0,0
Pr,25,baga,dund,0,0,0,0,0
Pr,25,baga,jijig,0,0,0,0,0
Pr,25,dund,tom,3.22,3.31,3.08,2.99,2.83
Pr,25,dund,dund,0,0,0,0,0
Pr,25,dund,jijig,0,0,0,0,0
Pr,25,ih,tom,6.8,6.99,7.8,8.08,8.6
Pr,25,ih,dund,0.56,0.13,0.06,0,0
Pr,25,ih,jijig,0,0,0,0,0
Pr,10,baga,tom,0.5,0.53,0.42,0.38,0.29
Pr,10,baga,dund,0,0,0,0,0
Pr,10,baga,jijig,0,0,0,0,0
Pr,10,dund,tom,3.43,3.81,4.15,3.64,3.4
Pr,10,dund,dund,0.05,0.06,0.05,0,0
Pr,10,dund,jijig,0,0,0,0,0
Pr,10,ih,tom,4.07,4.83,6.02,6.04,6.01
Pr,10,ih,dund,1.67,1.49,1.77,1.73,1.61
Pr,10,ih,jijig,0,0,0,0,0
Nd,35,baga,tom,0.65,0.67,0,0,0
Nd,35,baga,dund,0,0,0,0,0
Nd,35,baga,jijig,0.01,0.01,0,0,0
Nd,35,dund,tom,5.73,5.77,5.83,6.04,6.6
Nd,35,dund,dund,0,0.03,0.04,0.01,0
Nd,35,dund,jijig,0,0.03,0.07,0.01,0
Nd,35,ih,tom,13.21,13.41,14.29,16.35,21.1
Nd,35,ih,dund,1.09,0.4,0.4,0.01,0
Nd,35,ih,jijig,0.04,0.05,0.05,0,0
Nd,25,baga,tom,0.63,0.65,0,0.01,0
Nd,25,baga,dund,0,0.02,0,0,0
Nd,25,baga,jijig,0,0.02,0,0.01,0
Nd,25,dund,tom,4.07,4.15,4.17,3.51,3.73
Nd,25,dund,dund,0,0.02,0,0,0.01
Nd,25,dund,jijig,0.01,0.03,0,0,0
Nd,25,ih,tom,8.67,8.74,8.85,9.74,11.42
Nd,25,ih,dund,0.71,0.24,0.25,0,0.01
Nd,25,ih,jijig,0,0.03,0.03,0,0
Nd,10,baga,tom,0.56,0.58,0.59,0.36,0.3
Nd,10,baga,dund,0,0.01,0.02,0,0
Nd,10,baga,jijig,0,0.01,0.01,0,0
Nd,10,dund,tom,3.85,4.13,4.16,3.93,3.97
Nd,10,dund,dund,0.07,0.11,0.11,0.01,0.01
Nd,10,dund,jijig,0,0.02,0,0.01,0
Nd,10,ih,tom,4.83,5.44,6.3,6.81,7.44
Nd,10,ih,dund,1.82,1.52,1.64,1.76,1.78
Nd,10,ih,jijig,0.03,0.02,-0.03,0.01,0
Sm,35,baga,tom,0.88,0.16,0,0,0
Sm,35,baga,dund,0.03,0.03,0,0,0
Sm,35,baga,jijig,0,0,0,0,0
Sm,35,dund,tom,7.83,5.54,8.9,9.16,9.56
Sm,35,dund,dund,0,0.03,0,0,0.09
Sm,35,dund,jijig,0,0,0.06,0.01,0.01
Sm,35,ih,tom,17.24,11.22,22.85,23.85,29.44
Sm,35,ih,dund,1.35,0.34,0.04,0,0.03
Sm,35,ih,jijig,0,0.03,0,0,0
Sm,25,baga,tom,0.79,0.32,0,0,0
Sm,25,baga,dund,0,0.02,0,0,0
Sm,25,baga,jijig,0,0,0,0,0.04
Sm,25,dund,tom,5.38,3.12,5.37,5.12,5.52
Sm,25,dund,dund,0,0,0,0,0.05
Sm,25,dund,jijig,0,0.01,0,0,0.03
Sm,25,ih,tom,11.37,7.69,13.93,14.11,16.15
Sm,25,ih,dund,0.93,0.24,0.07,0.03,0
Sm,25,ih,jijig,0,0.01,0,0.02,0.02
Sm,10,baga,tom,0.73,0.34,0.64,0.5,0.41
Sm,10,baga,dund,0,0.01,0,0.01,0.02
Sm,10,baga,jijig,0,0,0,0,0
Sm,10,dund,tom,5.17,3.48,6.69,5.66,5.52
Sm,10,dund,dund,0.18,0,0.04,0,0
Sm,10,dund,jijig,0,0,0,0,0
Sm,10,ih,tom,6.26,4.75,9.92,9.95,10.12
Sm,10,ih,dund,2.4,1.05,2.53,2.55,2.46
Sm,10,ih,jijig,0,0,0,0,0
