5,155.1,181.9,59.4,230.3,282.9,139.4,18.32,22.14,0.91,61.86,72.15,8.26,7.95,9.22,0.11,2.71,3.13,0.01,0.27,0.31,0,5.41,6.87,0.06,579
10,252.5,296.1,96.7,379.2,465.8,229.6,29.72,35.91,1.48,100.6,117.32,13.43,12.95,15.02,0.17,4.25,4.9,0.02,0.37,0.42,0,7.52,9.55,0.08,945
15,389.9,457.3,149.3,593.1,728.6,359.1,46.71,56.44,2.32,157.7,183.98,21.07,20.31,23.56,0.27,6.31,7.27,0.03,0.5,0.58,0,10.45,13.27,0.12,1471
20,461.6,541.3,176.7,703.3,864,425.9,54.71,66.1,2.72,185.4,216.25,24.76,23.18,26.88,0.31,7.19,8.28,0.03,0.55,0.62,0,11.73,14.9,0.13,1738
30,602,706,230.5,936.5,1150.4,567,72.61,87.72,3.61,244.8,285.48,32.69,30.62,35.51,0.41,9.47,10.91,0.04,0.66,0.75,0,14.73,18.71,0.16,2295
40,712.1,835.2,272.7,1091,1340,660.5,83.25,100.58,4.13,282.9,329.94,37.78,35.65,41.34,0.48,10.97,12.64,0.05,0.73,0.83,0,16.85,21.4,0.19,2682
50,755.1,885.6,289.2,1151,1414.1,697,87.34,105.52,4.34,297.5,347,39.73,37.18,43.11,0.5,11.42,13.17,0.05,0.73,0.83,0,17.74,22.53,0.2,2832
60,844.3,990.2,323.3,1270,1560,768.9,95.71,115.64,4.75,324.9,378.98,43.39,40.84,47.36,0.55,12.67,14.6,0.06,0.78,0.89,0,19.4,24.64,0.22,3132
80,954.7,1119.7,365.6,1447,1777.9,876.3,108.4,131.02,5.39,371.1,432.86,49.56,46.06,53.41,0.62,14.41,16.61,0.07,0.87,0.99,0,22.19,28.17,0.25,3561
100,1084,1271.4,415.1,1638,2012.5,992,123,148.56,6.11,422.4,492.65,56.41,51.61,59.85,0.69,16.31,18.8,0.08,0.98,1.12,0,24.86,31.57,0.28,4036
120,1075,1261,411.7,1702,2090.8,1030.5,127.4,153.88,6.32,438.8,511.86,58.61,53.7,62.27,0.72,16.71,19.26,0.08,1.01,1.15,0,25.96,32.97,0.29,4133
150,1249,1465.3,478.4,1905,2339.6,1153.2,142.6,172.25,7.08,492.4,574.38,65.77,59.42,68.91,0.8,18.79,21.66,0.09,1.11,1.26,0,29.54,37.52,0.33,4681
